"Language","original","english","french","russian",
"L96A1MAG_01","Holds 7 .338LP rounds and fits AWM","Holds 7 .338LP rounds and fits AWM","Peut contenir 7 cartouches .338LP et s'adapte à l'AWM","Вмещает 7 патронов .338LP и подходит для AWM",
"AX5065MAG_00","Magazine For AX6.5 Creedmoor","Magazine For AX6.5 Creedmoor","Chargeur Pour AX6.5 Creedmoor","Зарядное устройство для AX6.5 Creedmoor",
"AX5065MAG_01","Holds 5 6.5 Creedmoor rounds and is designed for the AX6.5","Holds 5 6.5 Creedmoor rounds and is designed for the AX6.5","Transporte 5 cartouches Creedmoor de 6,5 et est conçu pour l'AX6.5","Несет 5 картриджей Creedmoor 6.5 и предназначен для AX6.5.",
"M82A2MAGPNC_00","Magazine For Barrett M82","Magazine For Barrett M82","Chargeur Pour Barrett M82","Зарядное устройство для Barrett M82",
"M82A2MAGPNC_01","Holds 10 .50BMG rounds and is designed for the Barrett M82","Holds 10 .50BMG rounds and is designed for the Barrett M82","Peut contenir 10 cartouches .50BMG et est conçu pour le Barrett M82","Вмещает 10 патронов .50BMG и предназначен для Barrett M82.",
"SUPPM82_00","Muffler .50BMG","Muffler .50BMG","Silencieux .50BMG","Глушитель .50BMG",
"SUPPM82_01","Used for installation on Beowulf, M82 and AX50","Used for installation on Beowulf, M82 and AX50","Utilisé pour l'installation sur Beowulf, M82 et AX50","Используется для установки на Beowulf, M82 и AX50",
"Beowulfmag_00","Magazine for Beowulf","Magazine for Beowulf","Chargeur Pour beowulf","Зарядное устройство для беовульфа",
"Beowulfmag_01","Holds 20 cartridges of 12.7x42 caliber and is designed for Beowulf","Holds 20 cartridges of 12.7x42 caliber and is designed for Beowulf","Contient 20 cartouches de calibre 12,7x42 et est conçu pour Beowulf","Содержит 20 патронов калибра 12,7х42 и предназначен для Беовульфа.",
"CheyTacM300Mag_00","Magazine for CheyTacM300","Magazine for CheyTacM300","Chargeur Pour CheyTacM300","Зарядное устройство для CheyTacM300",
"CheytacM300Mag_01","Holds up to 7 .408 rounds and is designed for the M300","Holds up to 7 .408 rounds and is designed for the M300","Peut contenir jusqu'à 7 408 cartouches et est conçu pour le M300","Вмещает до 7408 патронов и предназначен для M300.",
"DVL10Mag_00","Magazine holding up to 7 rounds in .338LP caliber","Magazine holding up to 7 rounds in .338LP caliber","Chargeur pouvant contenir jusqu'à 7 cartouches de calibre .338LP","Магазин на 7 патронов .338LP",
"LARsttck_00","LAR stock","LAR stock","Stock LAR","Акция LAR",
"LARsttck_01","The stock designed for LAR. Cheap to manufacture.","The stock designed for LAR. Cheap to manufacture.","Le stock conçu pour LAR. Pas cher à fabriquer.","Ложа предназначена для LAR. Не дорого в производстве.",
"LARhdng_00","Wooden handguard LAR","Wooden handguard LAR","Garde-main en bois LAR","Деревянное цевье LAR",
"LARhdng_01","Forend made of wood. Has an average weight. Mounted on LAR","Forend made of wood. Has an average weight. Mounted on LAR","handguard en bois. A un poids moyen. Monté sur LAR","деревянное цевье. При среднем весе. Установлен на LAR",
"LARsttck1_00","Plastic forend LAR","Plastic forend LAR","Stock plastique LAR","Пластиковый приклад LAR",
"LARsttck1_01","A plastic forend made to make the weapon lighter. Mounted on LAR","A plastic forend made to make the weapon lighter. Mounted on LAR","Une Stock en plastique conçue pour alléger l'arme. Monté sur LAR","Пластиковая ложа, предназначенная для облегчения оружия. Установлен на LAR",
"LARrishdng_00","Upgraded LAR forend","Upgraded LAR forend","Stock LAR améliorée","Улучшенный запас LAR",
"LARrishdng_01","Iron forend, performing the function of installing additional modules. Mounted on LAR","Iron forend, performing the function of installing additional modules. Mounted on LAR","Stock en fer, remplissant la fonction d'installation de modules supplémentaires. Monté sur LAR","Железный приклад, выполняющий функцию установки дополнительных модулей. Установлен на LAR",
"LARhndl_00","Forend LAR","Forend LAR","Stock LAR","Акция LAR",
"LARhdnl_01","A forend that adds convenience and comfort when shooting","A forend that adds convenience and comfort when shooting","Une Srock qui ajoute commodité et confort lors de la prise de vue","Srock, который добавляет удобство и комфорт при стрельбе",
"LAR50RND_00","LAR 50RND","LAR 50RND","Chargeur 50 balles de LAR","Журнал 50 патронов из ЛАР",
"LAR50RND_01","A magazine using .308 caliber rifle cartridges. Holds up to 50 rounds","A magazine using .308 caliber rifle cartridges. Holds up to 50 rounds","Un Chargeur utilisant des cartouches de fusil de calibre .308. Peut contenir jusqu'à 50 cartouches","Зарядное устройство, использующее винтовочные патроны .308 калибра. Вмещает до 50 картриджей",
"LARcmpt_00","Compensator for LAR","Compensator for LAR","Compensateur pour LAR","Компенсатор для LAR",
"LARcmpt_01","Compensator that suppresses recoil and absorbs flash when fired","Compensator that suppresses recoil and absorbs flash when fired","Compensateur qui supprime le recul et absorbe le flash lors du tir","Компенсатор, исключающий отдачу и поглощающий вспышку при стрельбе.",
"LARcmpt1_00","Compensator for LAR","Compensator for LAR","Compensateur pour LAR","Компенсатор для LAR",
"LARcmpt1_01","Compensator, absorbing the flash of a shot","Compensator, absorbing the flash of a shot","Compensateur, absorbant le flash d'un tir","Компенсатор, поглощающий вспышку выстрела",
"Kivaaristck_00","Sniper stock","Sniper stock","Stock de tireur d'élite","Снайперская ложа",
"Kivaaristck_01","An excellent option for long-range shooting. Allows you to shoot from a standing position due to a significant reduction in the swing of the sight","An excellent option for long-range shooting. Allows you to shoot from a standing position due to a significant reduction in the swing of the sight","Une excellente option pour le tir à longue distance. Permet de tirer en position debout grâce à une réduction significative de l'oscillation du viseur","Отличный вариант для стрельбы на дальние дистанции. Позволяет вести стрельбу из положения стоя благодаря значительному уменьшению колебаний прицела.",
"KIVAARIMAG_00","Magazine for Kivaari338","Magazine for Kivaari338","Chargeur Pour Kivaari","Зарядное устройство для Киваари",
"KIVAARIMAG_01","Magazine designed for the Kiivari338 rifle and holds 10 rounds of .338LP caliber","Magazine designed for the Kiivari338 rifle and holds 10 rounds of .338LP caliber","Chargeur conçu pour le fusil Kiivari338 et contient 10 cartouches de calibre .338LP","Магазин предназначен для винтовки Kiivari338 и содержит 10 патронов калибра .338LP.",
"SUPPKIVAARI_00","Muffler .338LP","Muffler .338LP","Silencieux .338LP","Глушитель .338LP",
"SUPPKIVAARI_01","Designed to mount on .338LP rifles in caliber","Designed to mount on .338LP rifles in caliber","Conçu pour être monté sur des carabines de calibre .338LP","Предназначен для установки на винтовки калибра .338LP.",
"T500MAG_00","Magazine for ORSIS T5000","Magazine for ORSIS T5000","Chargeur Pour ORSIS T5000","Зарядное устройство для ORSIS T5000",
"T500MAG_01","A magazine that can hold 5 rounds of .338LP caliber and is designed for the ORSIS T5000.","A magazine that can hold 5 rounds of .338LP caliber and is designed for the ORSIS T5000.","Un chargeur pouvant contenir 5 cartouches de calibre .338LP et conçu pour l'ORSIS T5000.","Магазин, вмещающий 5 патронов калибра .338LP, разработан для ORSIS T5000.",
"MSRMAG_00","Magazine for Remington MSR","Magazine for Remington MSR","Chargeur pour Remington MSR","Журнал для Remington MSR",
"MSRMAG_01","Magazine using .338 caliber rounds, holds up to 5 rounds and is designed for the Remington MSR","Magazine using .338 caliber rounds, holds up to 5 rounds and is designed for the Remington MSR","Chargeur utilisant des cartouches de calibre .338, peut contenir jusqu'à 5 cartouches et est conçu pour le Remington MSR","Магазин использует патроны калибра .338, вмещает до 5 патронов и предназначен для Remington MSR.",
"SCARHMAG_00","Standard magazine for the SCAR-H","Standard magazine for the SCAR-H","Chargeur standard pour la SCAR-H","Стандартное зарядное устройство для SCAR-H",
"MPAMG_00","Magazine for MPA","Magazine for MPA","Chargeur Pour MPA","Зарядное устройство для MPA",
"MPAMG_01","Magazine designed for MPA and holding 20 rounds of 6.5 Сreedmoor caliber.","Magazine designed for MPA and holding 20 rounds of 6.5 Сreedmoor caliber.","Chargeur conçu pour MPA et contenant 20 cartouches de calibre 6,5 Сreedmoor.","Магазин рассчитан на МПА и содержит 20 патронов Сreedmoor калибра 6,5.",
"VR80_00","The VR80 12GA shotgun is second to none. This 12GA gas semi-automatic shotgun has an upper and lower receiver made of 7075 T6 aluminum. Uses 12GA caliber","The VR80 12GA shotgun is second to none. This 12GA gas semi-automatic shotgun has an upper and lower receiver made of 7075 T6 aluminum. Uses 12GA caliber","Le fusil de chasse VR80 12GA est incomparable. Ce fusil de chasse semi-automatique à gaz 12GA a un récepteur supérieur et inférieur en aluminium 7075 T6. Utilise le calibre 12GA","Ружье VR80 12GA не имеет себе равных. Это газовое полуавтоматическое ружье 12GA имеет верхнюю и нижнюю ствольную коробку, изготовленную из алюминия 7075 T6. Использует калибр 12GA",
"VR80Mag","Magazine for VR80. Uses 12 gauge","Magazine for VR80. Uses 12 gauge","Chargeur Pour VR80. Utilise Calibre 12","Магазин для VR80. Использует 12 калибр",
"SCAR16_00","The smaller brother of the SCAR-17, using 5.56x45 cartridges. It is more accurate than its predecessor and more reliable.","The smaller brother of the SCAR-17, using 5.56x45 cartridges. It is more accurate than its predecessor and more reliable.","Le petit frère du SCAR-17, utilisant des cartouches 5.56x45. Il est plus précis et plus fiable que son prédécesseur.","Меньший брат SCAR-17, использующий патроны 5.56х45. Он точнее своего предшественника и надежнее.",
"RemigtonR5_00","American automatic rifle of the AR-15 family, introduced in 2010. It featured a stamped top receiver, which acted as a barrel cooling jacket and was installed with STANAG slats and sights. Uses caliber 5.56x45","American automatic rifle of the AR-15 family, introduced in 2010. It featured a stamped top receiver, which acted as a barrel cooling jacket and was installed with STANAG slats and sights. Uses caliber 5.56x45","Fusil automatique américain de la famille AR-15, introduit en 2010. Il comportait un récepteur supérieur estampé, qui servait de chemise de refroidissement pour baril et était installé avec des lattes et des viseurs STANAG. Utilise le calibre 5.56x45","Aмериканская автоматическая винтовка семейства AR-15, представленная в 2010 году. Отличалась штампованным верхним приёмником, который выступал в качестве охлаждающего кожуха ствола и устанавливался с планками и прицелами STANAG. Использует калибр 5.56х45",
"PKP_00","PKP Pecheneg","PKP Pecheneg","PKP Pecheneg","ПКП Печенег",
"PKP_01","The machine gun, developed by the Kalashnikov concern and released in 1961, has good overwhelming power. It is used in many countries around the world. Uses cartridge 7.62x54","The machine gun, developed by the Kalashnikov concern and released in 1961, has good overwhelming power. It is used in many countries around the world. Uses cartridge 7.62x54","La mitrailleuse, développée par la société Kalachnikov et sortie en 1961, a une bonne puissance écrasante. Il est utilisé dans de nombreux pays à travers le monde. Utilise la cartouche 7.62x54","Пулемет, разработанный концерном Калашникова и выпущенный в 1961 году, обладает хорошей подавляющей мощью. Применяется во многих странах мира. Использует патрон 7.62х54",
"PKPMag_00","Mag for PKP","Mag for PKP","Chargeur Pour PKP","Магазин для ПКП",
"HoneyBadgerMag_00","Mag For Honey Badger","Mag For Honey Badger","Chargeur Pour Honey Badger","Магазин для Honey Badger",
"HoneyBadgerMag_01","Standard magazine designed for Honey Badger and holding 30 rounds in .300Blackout","Standard magazine designed for Honey Badger and holding 30 rounds in .300Blackout","Chargeur standard conçu pour Honey Badger et contenant 30 cartouches en .300Blackout","Стандартный магазин, предназначенный для Honey Badger и вмещающий 30 патронов калибра .300Blackout",
"HoneyBadgerMag_02","Coupled magazine for HoneyBadger","Coupled magazine for HoneyBadger","Chargeur double pour HoneyBadger","Сдвоенный магазин для HoneyBadger",
"HoneyBadgerMag_03","Holds 60 .300 Blackout rounds and is designed for Honey Badger","Holds 60 .300 Blackout rounds and is designed for Honey Badger","Contient 60 cartouches de .300 Blackout et est conçu pour Honey Badger","Вмещает в себя 60 патронов калибра .300Blackout и предназначен для Honey Badger",
"HoneyBadgerMag_04","60Rnd Honey Badger","60Rnd Honey Badger","60Rnd Honey Badger","60-й медовый барсук",
"HoneyBadgerMag_05","Holds 60 .300 Blackout rounds and is designed for Honey Badger","Holds 60 .300 Blackout rounds and is designed for Honey Badger","Peut contenir 60 cartouches Blackout de 0,300 et est conçu pour Honey Badger","Вмещает в себя 60 патронов калибра .300Blackout и предназначен для Honey Badger",
"HoneyBadgerbttsk_00","Straight stock","Straight stock","Crosse droite","Прямой приклад",
"HoneyBadgerbttsk_01","The stock used for fighting in confined spaces. Has a light weight, slightly reduces recoil","The stock used for fighting in confined spaces. Has a light weight, slightly reduces recoil","Une crosse utilisée pour combattre dans des espaces confinés. A un poids léger, réduit légèrement le recul","Приклад, используемый для боев в закрытых пространствах. Имеет облегченнй вес, слабо уменьшает отдачу",
"HoneyBadger_00","The Honey Badger is a modern submachine gun designed and manufactured by the Advanced Armament Corporation (AAC). The weapon is designed on the basis of the AR-15 assault rifle in .300AC caliber","The Honey Badger is a modern submachine gun designed and manufactured by the Advanced Armament Corporation (AAC). The weapon is designed on the basis of the AR-15 assault rifle in .300AC caliber","Le Honey Badger est une mitraillette moderne conçue et fabriquée par Advanced Armament Corporation (AAC). L'arme est conçue sur la base du fusil d'assaut AR-15 en calibre .300AC","Honey Badger — современный пистолет-пулемёт, разработанный и производимый компанией Advanced Armament Corporation (AAC). Оружие сконструировано на основе штурмовой винтовки AR-15 калибра .300AC",
"Famas_00","The assault rifle developed by the MAS weapons enterprise in Saint-Etienne) is a French 5.56 mm machine gun with a bullpup layout. Uses 5.56x45mm cartridge","The assault rifle developed by the MAS weapons enterprise in Saint-Etienne) is a French 5.56 mm machine gun with a bullpup layout. Uses 5.56x45mm cartridge","Le fusil d'assaut développé par l'entreprise d'armement MAS à Saint-Etienne) est une mitrailleuse française de 5,56 mm avec une disposition bullpup. Utilise une cartouche de 5,56 x 45 mm","Штурмовая винтовка разработки оружейного предприятия MAS в Сент-Этьене) — французский автомат калибра 5,56 мм, имеющий компоновку «булл-пап». Использует патрон 5.56х45мм",
"FamasMag_00","Famas Assault Rifle Magazine","Famas Assault Rifle Magazine","Chargeur Pour Famas","Магазин для штурмовой винтовки Famas",
"AugA3_00","A set of small arms, released in 1977 by the Austrian company Steyr-Daimler-Puch (now Steyr Mannlicher AG & Co KG). In Austria, the rifle is licensed under the F88 brand. Uses 5.56x45mm cartridge","A set of small arms, released in 1977 by the Austrian company Steyr-Daimler-Puch (now Steyr Mannlicher AG & Co KG). In Austria, the rifle is licensed under the F88 brand. Uses 5.56x45mm cartridge","Un ensemble d'armes légères, sorti en 1977 par la société autrichienne Steyr-Daimler-Puch (maintenant Steyr Mannlicher AG & Co KG). En Autriche, le fusil est licencié sous la marque F88. Utilise une cartouche de 5,56 x 45 mm","Комплекс стрелкового оружия, выпущенный в 1977 году австрийской компанией Steyr-Daimler-Puch (ныне Штайр Манлихер AG & Co KG). В Австрии винтовка выпускается по лицензии под маркой F88. Использует патрон 5.56х45мм",
"G36_00","A family of small arms developed in the early 1990s by the German company Heckler & Koch to replace the well-known HK G3 automatic rifle. Uses 5.56x45mm cartridge","A family of small arms developed in the early 1990s by the German company Heckler & Koch to replace the well-known HK G3 automatic rifle. Uses 5.56x45mm cartridge","Une famille d'armes légères développée au début des années 1990 par la société allemande Heckler & Koch pour remplacer le célèbre fusil automatique HK G3. Utilise une cartouche de 5,56 x 45 mm","Cемейство стрелкового оружия, разработанное в начале 1990-х немецкой компанией Heckler & Koch для замены хорошо известной автоматической винтовки HK G3. Использует патрон 5.56х45мм",
"M110_00","The M110 is an American sniper rifle developed by the Knight's Armament Company based on the Mk11 mod. 0 to complement and replace the M24 sniper rifle in the US Army. Uses caliber .308","The M110 is an American sniper rifle developed by the Knight's Armament Company based on the Mk11 mod. 0 to complement and replace the M24 sniper rifle in the US Army. Uses caliber .308","Le M110 est un fusil de sniper américain développé par la Knight's Armament Company sur la base du mod Mk11. 0 pour compléter et remplacer le fusil de sniper M24 de l'armée américaine. Utilise le calibre .308","M110 — американская снайперская винтовка, разработанная компанией Knight’s Armament Company на основе Мк11 mod. 0 для дополнения и замены снайперской винтовки M24 в армии США. Использует калибр .308",
"M110Mag_00","M110 sniper rifle magazine","M110 sniper rifle magazine","Chargeur de fusil de sniper M110","Магазин для снайперской винтовки М110",
"BttskM110_00","M110 stock","M110 stock","Crosse M110","Приклад M110",
"BttskM110_01","M110 sniper rifle stock","M110 sniper rifle stock","Crosse de fusil de sniper M110","Приклад для снайперской винтовки M110",
"M200_00","The CheyTac M200, also called the Intervention, is an advanced sniper rifle manufactured by Cheyenne Tactical. It is based on the EDM Arms Windrunner.","The CheyTac M200, also called the Intervention, is an advanced sniper rifle manufactured by Cheyenne Tactical. It is based on the EDM Arms Windrunner.","Le CheyTac M200, également appelé Intervention, est un fusil de sniper avancé fabriqué par Cheyenne Tactical. Il est basé sur l'EDM Arms Windrunner.","CheyTac M200, также известная как Intervention, представляет собой усовершенствованную снайперскую винтовку, производимую Cheyenne Tactical. Он основан на EDM Arms Windrunner.",
"Origins12_00","The Origin-12 is a semi-automatic shotgun partially borrowed from the Saiga-12 shotgun. Uses a 12-gauge cartridge","The Origin-12 is a semi-automatic shotgun partially borrowed from the Saiga-12 shotgun. Uses a 12-gauge cartridge","L'Origin-12 est un fusil de chasse semi-automatique partiellement emprunté au fusil de chasse Saiga-12. Utilise une cartouche de calibre 12","Origin-12 - это полуавтоматическое ружье, частично заимствованное из ружья Сайга-12. Использует патрон 12-го калибра",
"OriginMag_00","ORIGIN Shotgun Drum","ORIGIN Shotgun Drum","Tambour de fusil de chasse ORIGINE","Барабан для дробовика ORIGIN",
"OriginMag_01","Shotgun magazine ORIGIN","Shotgun magazine ORIGIN","Chargeur de fusil de chasse ORIGINE","Магазин для дробовика ORIGIN",
"Originbttsk_00","ORIGIN Shotgun Stock","ORIGIN Shotgun Stock","Crosse de fusil de chasse ORIGINE","Приклад для дробовика ORIGIN",
"Originbttsk_01","Improved stock for the ORIGIN shotgun","Improved stock for the ORIGIN shotgun","Crosse améliorée pour le fusil de chasse ORIGIN","Улучшенный приклад для дробовика ORIGIN",
"Originbttsk_02","ORIGIN standard shotgun stock","ORIGIN standard shotgun stock","Crosse de fusil de chasse standard ORIGINE","Стандартный приклад для дробовика ORIGIN",
"RPK16_00","RPK-16","RPK-16","RPK-16","РПК-16",
"RPK16_01","Russian light machine gun of 5.45 × 39 mm caliber. It is an initiative development of the Kalashnikov concern. This machine gun is being tested as a potential replacement for the Kalashnikov RPK-74 light machine gun, both in conventional troops and in special forces.","Russian light machine gun of 5.45 × 39 mm caliber. It is an initiative development of the Kalashnikov concern. This machine gun is being tested as a potential replacement for the Kalashnikov RPK-74 light machine gun, both in conventional troops and in special forces.","Mitrailleuse légère russe de calibre 5,45 × 39 mm. Il s'agit d'une initiative de développement du groupe Kalachnikov. Cette mitrailleuse est testée pour remplacer la mitrailleuse légère Kalachnikov RPK-74, à la fois dans les troupes conventionnelles et dans les forces spéciales.","Российский ручной пулемёт калибра 5,45 × 39 мм. Является инициативной разработкой концерна Калашников. Этот пулемёт отрабатывается как потенциальная замена ручному пулемету Калашникова РПК-74, как в обычных войсках, так и в подразделениях специального назначения",
"RPKDRUM_00","Drum RPK16","Drum RPK16","TAMBOUR RPK-16","РПК-16 DRUM",
"RPKDRUM_01","Drum for RPK-16 light machine gun. Holds 90 rounds","Drum for RPK-16 light machine gun. Holds 90 rounds","Tambour pour mitrailleuse légère RPK-16. Peut contenir 90 cartouches","Барабан для ручного пулемёта РПК-16. Вмещает 90 патрон",
"RPK16Hdng_00","Handguard for RPK-16","Handguard for RPK-16","Handguard Pour RPK-16","Цевье для РПК-16",
"RPK16Bttsk_00","RPK-16 buttstock","RPK-16 buttstock","RPK-16 buttstock","Приклад РПК-16",
"RPK16Bttsk_01","Stock for RPK-16 light machine gun","Stock for RPK-16 light machine gun","Crosse pour mitrailleuse légère RPK-16","Приклад для ручного пулемёта РПК-16",
"Tac21_00","American large-caliber sniper rifle. Uses .338 Lapua Magnum cartridge","American large-caliber sniper rifle. Uses .338 Lapua Magnum cartridge","Fusil de précision américain de gros calibre. Utilise une cartouche .338 Lapua Magnum","Американская крупнокалиберная снайперская винтовка. Использует патрон .338 Lapua Magnum",
"VSSK_00","VSSK Vykhlop","VSSK Vykhlop","VSSK Vykhlop","VSSK Выхлоп",
"VSSK_01","Russian silent large-caliber sniper rifle, made according to the bullpup layout. Developed by special order of the Special Purpose Center of the FSB of Russia together with the ASh-12 large-caliber assault rifle. Uses a 12.7x55 cartridge","Russian silent large-caliber sniper rifle, made according to the bullpup layout. Developed by special order of the Special Purpose Center of the FSB of Russia together with the ASh-12 large-caliber assault rifle. Uses a 12.7x55 cartridge","Fusil de sniper silencieux russe de gros calibre, fabriqué selon la disposition bullpup. Développé sur commande spéciale du Centre spécial du FSB de Russie avec le fusil d'assaut de gros calibre ASh-12. Utilise une cartouche 12,7x55","Российская бесшумная крупнокалиберная снайперская винтовка, выполненная по компоновке булл-пап. Разработана по специальному заказу Центра Специального Назначения ФСБ России вместе с крупнокалиберным автоматом АШ-12. Использует патрон 12.7x55",
"VSSKMag_00","Rifle magazine VSSK","Rifle magazine VSSK","Chargeur de fusil VSSK","Магазин для винтовки VSSK",
"Abakan_00","An-94 is a russian unique gun that can fire 2 bullets per shot. Uses 5.45x39 caliber","An-94 is a russian unique gun that can fire 2 bullets per shot. Uses 5.45x39 caliber","Arme russe unique pouvant tirer 2 balles par coup utilise le calibre 5.45x39","АН-94 Абакан уникальное оружие Никонова, которое при выстреле выпускает 2 пули одновремеено. Использует 5.45х39 калибр",
